报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
duan8.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,10,0,-,1,0,10%,-,1.8,-,180,1.8,0%,-,,0,0
774buy.com,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,422,0,-,1,0,0.237%,-,2,-,4.74,2.0,0%,-,,0,0
wenzhangba.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,23,0,-,1,0,4.3478%,-,1.18,-,51.3,1.18,100%,100%,00:00:45,0,0
bokon.net,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,163,0,-,1,0,0.6135%,-,1,-,6.13,1.0,0%,-,,0,0
dianxinnews.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,综合门户,1.8,68,0,-,1,0,1.4706%,-,1.79,-,26.32,1.79,0%,-,,0,0
bookgg.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,288,0,-,1,0,0.3472%,-,0.97,-,3.37,0.97,0%,-,,0,0
guanjiang.net,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,1035,0,-,1,0,0.0966%,-,0.96,-,0.93,0.96,0%,-,,0,0
brookmyth.net.cn,新三国解密,新三国解密-三国词,有效,音乐影视,视频短片,1.8,20,0,-,1,0,5%,-,1.8,-,90,1.8,0%,-,,0,0
hao123.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,娱乐综合,1.8,2193,0,-,14,0,0.6384%,-,1.7,-,10.84,23.77,0%,-,,0,0
qpwh.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,15,0,-,1,0,6.6667%,-,1.8,-,120,1.8,0%,-,,0,0
miercn.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,政史军事,1.5,7800,0,-,5,0,0.0641%,-,0.99,-,0.64,4.97,0%,-,,0,0
js811.com,新三国解密,新三国解密-三国词,有效,网址导航,,1.8,8,0,-,1,0,12.5%,-,1.73,-,216.25,1.73,0%,-,,0,0
sooyuu.com,黑人打江山,黑人打江山-直投,有效,小说,电子书,1.0,89,0,-,1,0,1.1236%,-,0.77,-,8.65,0.77,0%,-,,0,0
cnmo.com,新三国解密,新三国解密-三国词,有效,数码及手机,手机资源及下载,1.8,5,0,-,1,0,20%,-,1.8,-,360,1.8,0%,-,,0,0
panzz.com,黑人打江山,黑人打江山-三国词,有效,网络服务应用,网盘,1.7,48,0,-,1,0,2.0833%,-,1.38,-,28.75,1.38,0%,-,,0,0
giveyousomecolortoseesee.com,3D领取吕布,3D领取吕布-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,1,0,100%,-,1.44,-,1440,1.44,0%,-,,0,0
uukanshu.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,15983,0,-,4,0,0.025%,-,0.74,-,0.18,2.94,0%,-,,0,0
xyshu8.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,382,0,-,2,0,0.5236%,-,1.68,-,8.8,3.36,0%,-,,0,0
07073.com,3D领取吕布,3D领取吕布-三国词,有效,游戏,网络游戏,0.6,14,0,-,1,0,7.1429%,-,0.58,-,41.43,0.58,0%,-,,0,0
88xiaoshuo.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,1147,0,-,1,0,0.0872%,-,1.8,-,1.57,1.8,0%,-,,0,0
97zm.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,视频短片,1.8,9,0,-,1,0,11.1111%,-,1.77,-,196.67,1.77,0%,-,,0,0
ting56.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,337,0,-,2,0,0.5935%,-,1.8,-,10.68,3.6,0%,-,,0,0
66xh.com,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,2238,0,-,5,0,0.2234%,-,1.69,-,3.78,8.46,0%,-,,0,0
81gay.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,4,0,-,1,0,25%,-,1.4,-,350,1.4,0%,-,,0,0
heihei168.com,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,29,0,-,1,0,3.4483%,-,0.17,-,5.86,0.17,0%,-,,0,0
17happy.cc,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,1,0,-,1,0,100%,-,1.16,-,1160,1.16,0%,-,,0,0
tianwx.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,8118,0,-,5,0,0.0616%,-,1,-,0.62,5.0,20%,100%,01:35:35,0,0
80121.cn,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,20,0,-,2,0,10%,-,1.77,-,177,3.54,0%,-,,0,0
92txt.net,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,555,0,-,1,0,0.1802%,-,1,-,1.8,1.0,0%,-,,0,0
sasa123.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,158,0,-,1,0,0.6329%,-,1,-,6.33,1.0,0%,-,,0,0
xiaozhan.cc,新三国解密,新三国解密-三国词,有效,休闲娱乐,动漫,0.8,739,0,-,3,0,0.406%,-,0.74,-,3,2.22,33.3333%,100%,00:00:38,0,0
zk008.com,新三国解密,新三国解密-三国词,有效,数码及手机,手机资源及下载,1.8,55,0,-,1,0,1.8182%,-,1.8,-,32.73,1.8,0%,-,,0,0
lingdiankanshu.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,1845,0,-,1,0,0.0542%,-,1,-,0.54,1.0,0%,-,,0,0
sscejia.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,650,0,-,1,0,0.1538%,-,1.8,-,2.77,1.8,0%,-,,0,0
cnrexue.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,政史军事,1.5,1537,0,-,1,0,0.0651%,-,1,-,0.65,1.0,0%,-,,0,0
swgm.com.cn,黑人打江山,黑人打江山-直投,有效,音乐影视,视频短片,0.6,12,0,-,1,0,8.3333%,-,0.57,-,47.5,0.57,0%,-,,0,0
my285.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,3331,0,-,2,0,0.06%,-,1,-,0.6,2.0,0%,-,,0,0
haotxt.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,1192,0,-,1,0,0.0839%,-,1,-,0.84,1.0,0%,-,,0,0
toutiao001.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,综合门户,1.5,1119,0,-,1,0,0.0894%,-,0.97,-,0.87,0.97,0%,-,,0,0
yijiaer.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,1,0,100%,-,1.8,-,1800,1.8,0%,-,,0,0
129x.com,黑人打江山,黑人打江山-直投,有效,音乐影视,娱乐综合,0.6,1,0,-,1,0,100%,-,0.56,-,560,0.56,0%,-,,0,0
