keyword_id,关键词,开始时间,结束时间,游戏,弹出PV,弹出IP,注册人数,激活人数,有效人数,次留人数,二登人数,活跃人数,总充值人数,总充值,新充值人数,新充值,注册转换率,激活率,有效率,次留率,二登率,活跃率
997422,大皇帝,2015-01-19,2015-01-19,大皇帝,1809,975,124,60,81,20,0,0,12,822.00,2,110,6.85%,48.39%,65.32%,16.13%,0%,0%
997424,大皇帝官网,2015-01-19,2015-01-19,大皇帝,445,316,42,27,40,14,0,0,4,60.00,1,10,9.44%,64.29%,95.24%,33.33%,0%,0%
1360644,图片子链,2015-01-19,2015-01-19,大皇帝,721,541,41,19,22,2,0,0,1,1200.00,0,0,5.69%,46.34%,53.66%,4.88%,0%,0%
1485282,三国志13,2015-01-19,2015-01-19,大皇帝,190,117,32,14,17,5,0,0,2,2100.00,1,100,16.84%,43.75%,53.13%,15.63%,0%,0%
1559131,三国,2015-01-19,2015-01-19,大皇帝,156,117,30,11,10,4,0,0,1,50.00,0,0,19.23%,36.67%,33.33%,13.33%,0%,0%
1360643,文字子链,2015-01-19,2015-01-19,大皇帝,1269,944,25,11,17,2,0,0,1,100.00,0,0,1.97%,44%,68%,8%,0%,0%
1485004,三国群英传,2015-01-19,2015-01-19,大皇帝,124,108,18,6,6,2,0,0,1,1200.00,0,0,14.52%,33.33%,33.33%,11.11%,0%,0%
1559132,三国乱世,2015-01-19,2015-01-19,大皇帝,137,119,18,7,6,2,0,0,0,0.00,0,0,13.14%,38.89%,33.33%,11.11%,0%,0%
1360427,大皇帝网页游戏,2015-01-19,2015-01-19,大皇帝,147,96,13,10,15,2,0,0,2,330.00,0,0,8.84%,76.92%,115.38%,15.38%,0%,0%
997423,游族大皇帝,2015-01-19,2015-01-19,大皇帝,48,25,12,11,11,0,0,0,0,0.00,0,0,25%,91.67%,91.67%,0%,0%,0%
1463565,宫廷计,2015-01-19,2015-01-19,大皇帝,35,28,11,5,5,0,0,0,0,0.00,0,0,31.43%,45.45%,45.45%,0%,0%,0%
1485269,三国志,2015-01-19,2015-01-19,大皇帝,101,79,10,4,4,0,0,0,0,0.00,0,0,9.9%,40%,40%,0%,0%,0%
1485011,三国群英传7,2015-01-19,2015-01-19,大皇帝,89,75,8,1,1,0,0,0,0,0.00,0,0,8.99%,12.5%,12.5%,0%,0%,0%
1462409,君临天下,2015-01-19,2015-01-19,大皇帝,51,44,7,2,2,0,0,0,0,0.00,0,0,13.73%,28.57%,28.57%,0%,0%,0%
1484563,真三国无双,2015-01-19,2015-01-19,大皇帝,33,27,7,2,2,0,0,0,0,0.00,0,0,21.21%,28.57%,28.57%,0%,0%,0%
1484611,真三国无双7猛将传,2015-01-19,2015-01-19,大皇帝,28,24,6,2,2,0,0,0,0,0.00,0,0,21.43%,33.33%,33.33%,0%,0%,0%
1484567,真三国无双5,2015-01-19,2015-01-19,大皇帝,40,31,6,2,1,0,0,0,0,0.00,0,0,15%,33.33%,16.67%,0%,0%,0%
1485324,三国志13中文版,2015-01-19,2015-01-19,大皇帝,30,23,6,2,2,0,0,0,0,0.00,0,0,20%,33.33%,33.33%,0%,0%,0%
1485295,三国志12威力加强版,2015-01-19,2015-01-19,大皇帝,70,64,5,1,1,1,0,0,0,0.00,0,0,7.14%,20%,20%,20%,0%,0%
1463681,傲视天地,2015-01-19,2015-01-19,大皇帝,28,26,5,2,1,0,0,0,1,300.00,0,0,17.86%,40%,20%,0%,0%,0%
1484569,真三国无双7,2015-01-19,2015-01-19,大皇帝,49,46,4,2,2,1,0,0,0,0.00,0,0,8.16%,50%,50%,25%,0%,0%
1486324,p三国之全面战争,2015-01-19,2015-01-19,大皇帝,16,16,4,2,2,0,0,0,0,0.00,0,0,25%,50%,50%,0%,0%,0%
1485657,塔防三国志,2015-01-19,2015-01-19,大皇帝,45,44,4,2,2,0,0,0,0,0.00,0,0,8.89%,50%,50%,0%,0%,0%
1559135,三国小镇2,2015-01-19,2015-01-19,大皇帝,11,11,3,2,2,0,0,0,0,0.00,0,0,27.27%,66.67%,66.67%,0%,0%,0%
1456880,单机网页游戏,2015-01-19,2015-01-19,大皇帝,3,1,3,0,0,0,0,0,0,0.00,0,0,100%,0%,0%,0%,0%,0%
1453861,塔防游戏大全,2015-01-19,2015-01-19,大皇帝,16,10,3,1,0,0,0,0,0,0.00,0,0,18.75%,33.33%,0%,0%,0%,0%
1484612,真三国无双6帝国,2015-01-19,2015-01-19,大皇帝,8,7,3,0,0,0,0,0,0,0.00,0,0,37.5%,0%,0%,0%,0%,0%
1462904,小小战争,2015-01-19,2015-01-19,大皇帝,14,12,3,2,1,0,0,0,0,0.00,0,0,21.43%,66.67%,33.33%,0%,0%,0%
1463776,游戏王,2015-01-19,2015-01-19,大皇帝,24,24,3,1,1,0,0,0,0,0.00,0,0,12.5%,33.33%,33.33%,0%,0%,0%
